"id","0"
"## Translators"
"#5  RusTranslation: Tommy-XL"
"#13 SChinese:fivefirex&ZeMingOH233  2T&MC-AS-Huier&xiaojin xyjx001(Edit: Tanakanira)"
"#14 TChinese: NetherDragon_Tw (Edit: Soukunsandesu)"

"## 役職"
"Neutral","Neutral"

"# バニラ役職"
"Crewmate","Crewmate"
"Engineer","Engineer"
"Scientist","Scientist"
"Noisemaker","Noisemaker"
"Tracker","Tracker"
"GuardianAngel","Guardian Angel"
"Impostor","Impostor"
"Shapeshifter","Shapeshifter"
"Phantom","Phantom"

"# 特殊インポスター役職"
"BountyHunter","Bounty Hunter"
"Mare","Mare"
"FireWorks","Fireworker"
"SerialKiller","Serial Killer"
"ShapeMaster","ShapeMaster"
"Vampire","Vampire"
"Warlock","Warlock"
"Witch","Witch"
"Mafia","Mafia"
"Puppeteer","Puppeteer"
"TimeThief","Time Thief"
"Sniper","Sniper"
"EvilTracker","Evil Tracker"
"Stealth","Stealth"
"NekoKabocha","Neko-Kabocha"
"EvilHacker","Evil Hacker"
"Penguin","Penguin"
"Insider","Insider"

"# マッドメイト系役職"
"Madmate","Madmate"
"MadGuardian","Mad Guardian"
"MadSnitch","Mad Snitch"
"SKMadmate","Sidekick Madmate"

"# 特殊クルー役職"
"Bait","Bait"
"Lighter","Lighter"
"Mayor","Mayor"
"SabotageMaster","Sabotage Master"
"Sheriff","Sheriff"
"Arsonist","Arsonist"
"Snitch","Snitch"
"SpeedBooster","Speed Booster"
"Doctor","Doctor"
"Trapper","Beartrap"
"Dictator","Dictator"
"Seer","Seer"
"TimeManager","TimeManager"

"# ニュートラル役職"
"Jester","Jester"
"Terrorist","Terrorist"
"Executioner","Executioner"
"SchrodingerCat","Schrödinger's Cat"
"Opportunist","Opportunist"
"Egoist","Egoist"
"Lovers","Lovers"
"Jackal","Jackal"
"PlagueDoctor","Plague Doctor"

"# HideAndSeek"
"HASFox","Fox"
"HASTroll","Troll"

"# GM"
"GM","GM"

"# 属性"
"LastImpostor","Last Impostor"
